epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.823,2.54524,3.06337,2.14572,0.02417,0.93548,0.34812,0.13362,1.63908,2.79155,1.41433,8e-05,8e-05,8e-05
2,280.81,1.84065,2.79653,1.59022,0.0255,0.9871,0.5013,0.21998,1.75878,2.75804,1.37373,0.000176404,0.000176404,0.000176404
3,323.416,1.74011,2.34248,1.41539,0.0255,0.9871,0.72427,0.31002,1.63336,2.68085,1.3362,0.000268811,0.000268811,0.000268811
4,365.039,1.63245,1.85207,1.38343,0.02583,1,0.79231,0.38114,1.60364,2.58126,1.29535,0.000357223,0.000357223,0.000357223
5,416.658,1.62213,1.64539,1.39331,0.0255,0.9871,0.65413,0.29881,1.53334,2.58147,1.27654,0.000441638,0.000441638,0.000441638
6,458.48,1.63787,1.52962,1.44217,0.77436,0.45161,0.65338,0.29952,1.58746,2.52071,1.34462,0.000522058,0.000522058,0.000522058
7,498.79,1.60205,1.37436,1.41842,0.9139,0.34242,0.66292,0.27876,1.6909,2.43206,1.45314,0.000598482,0.000598482,0.000598482
8,540.158,1.51937,1.25987,1.36431,0.94419,0.27742,0.60072,0.22487,1.75872,2.60214,1.57312,0.000670909,0.000670909,0.000670909
9,582.14,1.63195,1.26394,1.42172,0.57805,0.22581,0.27974,0.08598,1.83176,2.83757,1.77494,0.000739341,0.000739341,0.000739341
10,622.574,1.5671,1.27584,1.39351,0.7806,0.52258,0.65694,0.28096,1.75293,2.16301,1.49853,0.000803776,0.000803776,0.000803776
11,664.483,1.53944,1.2321,1.3668,0.79695,0.61935,0.7352,0.32462,1.72337,1.92134,1.46579,0.000864216,0.000864216,0.000864216
12,705.464,1.5061,1.2281,1.37593,0.82221,0.62659,0.7438,0.28832,1.88694,1.91085,1.53728,0.00092066,0.00092066,0.00092066
13,745.475,1.48355,1.17555,1.33628,0.83896,0.69032,0.81376,0.35143,1.72036,1.74707,1.41148,0.000973107,0.000973107,0.000973107
14,786.558,1.49412,1.13508,1.33562,0.80482,0.77152,0.85793,0.41712,1.61541,1.63732,1.3638,0.00102156,0.00102156,0.00102156
15,826.93,1.48667,1.11371,1.32385,0.81447,0.84966,0.87274,0.43449,1.68956,1.49453,1.45615,0.00106601,0.00106601,0.00106601
16,867.048,1.53038,1.11561,1.33197,0.85314,0.86202,0.89002,0.43458,1.69497,1.47288,1.4405,0.00110647,0.00110647,0.00110647
17,906.769,1.46623,1.09226,1.31085,0.81627,0.85991,0.87564,0.42583,1.66967,1.46927,1.4457,0.00114294,0.00114294,0.00114294
18,948.054,1.50833,1.09259,1.35284,0.81085,0.85737,0.88456,0.413,1.69926,1.42935,1.49852,0.00117541,0.00117541,0.00117541
19,988.808,1.47064,1.06923,1.34093,0.80665,0.88826,0.90657,0.47082,1.57819,1.31882,1.34744,0.00120388,0.00120388,0.00120388
20,1027.92,1.51147,1.1349,1.36102,0.84368,0.85161,0.90032,0.45212,1.66508,1.35105,1.37845,0.00122835,0.00122835,0.00122835
21,1067.98,1.47414,1.09756,1.31693,0.86518,0.82802,0.89193,0.38381,1.83783,1.46985,1.48395,0.0012008,0.0012008,0.0012008
22,1106.45,1.47563,1.1294,1.31781,0.84738,0.82387,0.89178,0.44185,1.65251,1.3803,1.36581,0.00116084,0.00116084,0.00116084
23,1146.12,1.44726,1.06117,1.28597,0.82355,0.87323,0.89761,0.45489,1.60034,1.26898,1.3696,0.00112088,0.00112088,0.00112088
24,1185.98,1.45393,1.06657,1.31855,0.81656,0.83871,0.87624,0.41481,1.71341,1.27117,1.43299,0.00108092,0.00108092,0.00108092
25,1226.73,1.45954,1.06991,1.28856,0.78425,0.84516,0.85318,0.39561,1.72503,1.30598,1.48013,0.00104096,0.00104096,0.00104096
26,1266.84,1.42882,1.05301,1.29685,0.844,0.80283,0.87185,0.43681,1.67233,1.22373,1.44594,0.001001,0.001001,0.001001
27,1308.28,1.4036,0.97592,1.25193,0.85183,0.81599,0.88376,0.45018,1.638,1.20294,1.41393,0.00096104,0.00096104,0.00096104
28,1347.16,1.42447,0.99236,1.27272,0.81601,0.85839,0.88894,0.46492,1.65306,1.17313,1.39125,0.00092108,0.00092108,0.00092108
29,1386.64,1.43699,0.95165,1.28915,0.80848,0.84429,0.88109,0.47629,1.63992,1.1764,1.39415,0.00088112,0.00088112,0.00088112
30,1426.89,1.39875,0.98228,1.2727,0.82505,0.85161,0.87982,0.44092,1.70894,1.19596,1.47323,0.00084116,0.00084116,0.00084116
31,1467.01,1.39003,0.96703,1.25966,0.79701,0.89677,0.88612,0.46688,1.67152,1.12155,1.4433,0.0008012,0.0008012,0.0008012
32,1507.43,1.42927,0.93982,1.26647,0.82633,0.85951,0.89001,0.49092,1.55813,1.03978,1.36026,0.00076124,0.00076124,0.00076124
33,1547.48,1.37303,0.92517,1.2229,0.81145,0.91626,0.9098,0.4759,1.60075,1.03484,1.38324,0.00072128,0.00072128,0.00072128
34,1587.54,1.39146,0.93603,1.27371,0.82966,0.9113,0.90213,0.45552,1.70036,1.05065,1.42194,0.00068132,0.00068132,0.00068132
35,1627.12,1.40663,0.93822,1.25668,0.82338,0.90228,0.89167,0.45443,1.7122,1.06255,1.43481,0.00064136,0.00064136,0.00064136
36,1666.85,1.34798,0.90784,1.23479,0.7967,0.88491,0.89584,0.48966,1.60258,1.03017,1.35686,0.0006014,0.0006014,0.0006014
37,1705.87,1.35862,0.92202,1.25131,0.80129,0.88452,0.89966,0.50445,1.59078,1.03177,1.34356,0.00056144,0.00056144,0.00056144
38,1746.67,1.3429,0.93268,1.25048,0.80778,0.92182,0.91587,0.50619,1.57903,1.01882,1.33452,0.00052148,0.00052148,0.00052148
39,1786.54,1.37837,0.93611,1.27478,0.82063,0.93548,0.92507,0.51082,1.59903,1.01269,1.34646,0.00048152,0.00048152,0.00048152
40,1826.33,1.28123,0.89502,1.2358,0.81114,0.94839,0.90855,0.50718,1.59458,1.00096,1.36358,0.00044156,0.00044156,0.00044156
41,1866.87,1.25932,0.91151,1.21068,0.80956,0.93248,0.91044,0.5122,1.5792,0.99018,1.35564,0.0004016,0.0004016,0.0004016
42,1907.2,1.29582,0.88618,1.20156,0.81439,0.89677,0.9103,0.51613,1.56888,0.97914,1.3545,0.00036164,0.00036164,0.00036164
43,1955.46,1.30774,0.87969,1.21383,0.83316,0.90213,0.91316,0.52265,1.57038,0.97958,1.35645,0.00032168,0.00032168,0.00032168
44,1995.76,1.28046,0.85911,1.2054,0.86225,0.92882,0.92995,0.5189,1.57982,0.98702,1.3672,0.00028172,0.00028172,0.00028172
45,2036.11,1.26011,0.84727,1.19444,0.8574,0.92258,0.9298,0.5239,1.57393,0.98455,1.36526,0.00024176,0.00024176,0.00024176
46,2076.15,1.26136,0.85386,1.20117,0.83886,0.90682,0.92525,0.52371,1.56483,0.97602,1.36535,0.0002018,0.0002018,0.0002018
47,2117.09,1.24228,0.82421,1.17639,0.80455,0.93548,0.90488,0.51578,1.56462,0.97456,1.3716,0.00016184,0.00016184,0.00016184
48,2157.69,1.25514,0.82692,1.1909,0.83091,0.90968,0.89953,0.51297,1.56215,0.97457,1.36671,0.00012188,0.00012188,0.00012188
49,2196.12,1.24561,0.83323,1.19856,0.83302,0.90119,0.8926,0.5051,1.55943,0.97561,1.36421,8.192e-05,8.192e-05,8.192e-05
50,2243.83,1.21867,0.81686,1.1735,0.83551,0.90323,0.89099,0.50481,1.56078,0.97668,1.36561,4.196e-05,4.196e-05,4.196e-05
